url,canonical,og_url,twitter_url,robots,title,status,issues
"http://localhost:3000/","","","","","","error","Error fetching http://localhost:3000/: Execution context was destroyed, most likely because of a navigation."
"http://localhost:3000/about","","","","","","error","Error fetching http://localhost:3000/about: Navigation timeout of 15000 ms exceeded"
"http://localhost:3000/condition-check","","","","","","error","Error fetching http://localhost:3000/condition-check: Navigation timeout of 15000 ms exceeded"
"http://localhost:3000/area-of-specialty","","","","","","error","Error fetching http://localhost:3000/area-of-specialty: Navigation timeout of 15000 ms exceeded"
"http://localhost:3000/locations","https://mountainspineorthopedics.com/locations","https://mountainspineorthopedics.com/locations","","","Florida Clinic Locations | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/find-care/book-an-appointment","https://mountainspineorthopedics.com/find-care/book-an-appointment","https://mountainspineorthopedics.com/find-care/book-an-appointment","","","Book Your Appointment | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/find-care/find-a-doctor","https://mountainspineorthopedics.com/find-care/find-a-doctor","https://mountainspineorthopedics.com/find-care/find-a-doctor","","","Find a Doctor Near You | Mountain Spine","ok",""
"http://localhost:3000/find-care/free-mri-review","https://mountainspineorthopedics.com/find-care/free-mri-review","https://mountainspineorthopedics.com/find-care/free-mri-review","","index, follow","Free MRI Review | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/find-care/candidacy-check","https://mountainspineorthopedics.com/find-care/candidacy-check","https://mountainspineorthopedics.com/find-care/candidacy-check","","","Free Spine Surgery Candidacy Check | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/find-care/second-opinion","https://mountainspineorthopedics.com/find-care/second-opinion","https://mountainspineorthopedics.com/find-care/second-opinion","","","Get a Second Opinion From Spine Experts | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/insurance-policy","https://mountainspineorthopedics.com/insurance-policy","https://mountainspineorthopedics.com/insurance-policy","","","Insurance Policy | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/patient-forms","https://mountainspineorthopedics.com/patient-forms","https://mountainspineorthopedics.com/patient-forms","","","Patient Forms | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/privacy-policy","https://mountainspineorthopedics.com/privacy-policy","https://mountainspineorthopedics.com/privacy-policy","","","Privacy Policy | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/injuries/car-accident","https://mountainspineorthopedics.com/injuries/car-accident","https://mountainspineorthopedics.com/injuries/car-accident","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","Car Accident Orthopedic Care in Florida | Mountain Spine & Orthopedics","ok",""
